Product_URL,Product_Name,Product_Price,Product_Rating,Product_Reviews
https://www.amazon.in/Lino-Perros-women-shoulder-OFFWHITE/dp/B09P69ZNBP/ref=sr_1_222?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-222,Lino Perros women fancy shoulder bag,868,4.1 out of 5 stars,168
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Bookbags/dp/B09P2RP9TG/ref=sr_1_223?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-223,WildHorn Laptop Backpack for Men/Women I Waterproof I Travel/Business/College Bookbags Fit 15.6 Inch Laptop,799,3.9 out of 5 stars,302
https://www.amazon.in/Shalimar-Reusable-Vegetable-Multi-Purpose-Storage/dp/B096P271BL/ref=sr_1_224?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-224,Shalimar Zip 'N' Lock Reusable Slider Bag (3 Boxes) Combo Pack (Small + Medium + Large) Zip Lock/Vegetable Bag/Freeze/Multi-Purpose Storage Bag (Pack of 45) Color - Natural,289,4.3 out of 5 stars,"4,087"
https://www.amazon.in/INOVERA-Water-Resistance-Toiletries-Cosmetics-Organizer/dp/B0BPYCBPTT/ref=sr_1_225?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-225,INOVERA (LABEL) Faux Leather Water-Resistance Toiletries Cosmetics Makeup Storage Organizer Bag for Girls and Women< Rose Gols (Rose Gold),259,4.3 out of 5 stars,184
https://www.amazon.in/Lifelong-LLGB02-Adjustable-Shoulder-Accessories/dp/B0BW3QZBQH/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-226,"Lifelong LLGB02 Gym Bag|Unisex Gym Bags|Adjustable Shoulder Bag for Men|Duffle Gym Bags for Men|Carry Gym Accessories|Fitness Bag|Sports &Travel Bag|Gym kit Bag (Black, 6 Months Warranty)",379,3.4 out of 5 stars,73
https://www.amazon.in/Stylbase-Spider-man-Polyester-Character-Embossed/dp/B0BNL2MJQQ/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-227,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",543,4.0 out of 5 stars,214
https://www.amazon.in/TRUE-Anti-Theft-backpack-charging-Epower_B/dp/B0BYBDX8VP/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-228,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7 out of 5 stars,466
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzIxMzI3OTU5MjE0NjU2OjE2OTc3MTg5ODk6c3BfYnRmOjMwMDA3MDg0MTgxNTczMjo6MDo6&url=%2FHEROZ-Backpack-Computer-tracking-17-3-inch%2Fdp%2FB0BR9C2DX6%2Fref%3Dsr_1_229_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718989%26sprefix%3Dba%252Caps%252C283%26sr%3D8-229-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"HEROZ Harrow 45 Ltrs Travel Laptop Backpack Slim Durable College School Computer Bookbag tracking for Women, Men, Girls, Boys Outdoor Camping & Fits Up to 17.3-inch laptop (Notebook) (Grey & Air Force Blue)","1,499",4.2 out of 5 stars,"8,213"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzIxMzI3OTU5MjE0NjU2OjE2OTc3MTg5ODk6c3BfYnRmOjMwMDA3MDg0MTgxNTUzMjo6MDo6&url=%2FHEROZ-Backpack-Anti-Theft-Business-Charging%2Fdp%2FB0BJ5NHX4D%2Fref%3Dsr_1_230_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718989%26sprefix%3Dba%252Caps%252C283%26sr%3D8-230-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"HEROZ Hybrid Laptop Backpack, Unisex Anti-Theft Travel Backpack, Business School Bookbag with USB Charging Port for Men & Women Fit for 15.6 Inches Laptop (Brown)","1,899",5.0 out of 5 stars,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDM2OTY3MzQ5MTgwNjU2OjE2OTc3MTkwMjQ6c3BfYXRmX25leHQ6MzAwMDcwMTUxOTM0MTMyOjowOjo&url=%2FHEROZ-Backpack-Resistant-Notebook-Airforce%2Fdp%2FB07MCRHSVP%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697719024%26sprefix%3Dba%252Caps%252C283%26sr%3D8-225-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Harbour Unisex Nylon 28 L Medium Size Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Air Force Blue),675,4.1 out of 5 stars,"6,043"
